"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"142","Súkkulaði",4,"iOS","Gangandi / skokkandi",3,"Ketti","Rétt",7,500,1792,"Í bíó",187,"Rétt"
"143","Vanilla",15,"iOS","Með einkabíl",2,"Hunda","Rangt",5,237,1769,"Í fjallgöngu",162,"Rétt"
"144","Súkkulaði",30,"iOS","Með einkabíl",3,"Hunda","Rétt",4,500,1756,"Á kaffihús",173,"Rétt"
"145","Vanilla",40,"Android","Með einkabíl",4,"Ketti","Rétt",5,595,1770,"Á ísrúnt",160,"Rangt"
"146","Vanilla",15,"iOS","Með einkabíl",4,"Ketti","Rétt",9,495,1886,"Á kaffihús",156,"Rangt"
"147","Súkkulaði",5,"iOS","Gangandi / skokkandi",4,"Hunda","Rétt",6,399,1763,"Á kaffihús",168,"Rétt"
"148","Súkkulaði",10,"iOS","Gangandi / skokkandi",4,"Hunda","Rangt",6,649,1775,"Á ísrúnt",165,"Rétt"
"149","Vanilla",30,"Android","Með einkabíl",1,"Ketti","Rétt",2,400,1769,"Á ísrúnt",150,"Rétt"
"150","Vanilla",10,"Android","Með einkabíl",1,"Hunda","Rangt",6,1000,1800,"Á ísrúnt",150,"Rangt"
"151","Vanilla",12,"iOS","Með einkabíl",5,"Ketti","Rétt",7,400,1498,"Á ísrúnt",156,"Rétt"
"152","Vanilla",14,"iOS","Með strætó",2,"Ketti","Rétt",8,400,1730,"Í fjallgöngu",178,"Rangt"
"153","Vanilla",8,"iOS","Á hjóli / rafhlaupahjóli",3,"Ketti","Rétt",3,437,1738,"Á kaffihús",172,"Rétt"
"154","Vanilla",15,"iOS","Með einkabíl",1,"Hunda","Rétt",8,400,1794,"Á kaffihús",178,"Rangt"
"155","Súkkulaði",10,"Android","Með einkabíl",5,"Hunda","Rangt",9,350,1930,"Á ísrúnt",165,"Rétt"
"156","Vanilla",5,"iOS","Með einkabíl",1,"Ketti","Rétt",8,1000,1680,"Á ísrúnt",167,"Rétt"
"157","Jarðaberja",40,"Android","Með strætó",1,"Hunda","Rétt",8,759,1860,"Í bíó",170,"Rangt"
"158","Vanilla",11,"iOS","Gangandi / skokkandi",3,"Ketti","Rétt",7,800,1750,"Á kaffihús",164,"Rétt"
"159","Jarðaberja",15,"iOS","Með einkabíl",2,"Ketti","Rétt",8,499,1770,"Í bíó",172,"Rétt"
"160","Súkkulaði",10,"iOS","Gangandi / skokkandi",2,"Hunda","Rétt",5,759,1300,"Á ísrúnt",160,"Rangt"
"161","Súkkulaði",30,"iOS","Með einkabíl",1,"Ketti","Rétt",4,598,1752,"Á ísrúnt",172,"Rétt"
"162","Súkkulaði",5,"iOS","Gangandi / skokkandi",3,"Hunda","Rétt",8,479,1610,"Á kaffihús",167,"Rétt"
"163","Súkkulaði",10,"iOS","Með strætó",1,"Hunda","Rétt",9,800,1770,"Á kaffihús",169,"Rangt"
"164","Vanilla",25,"iOS","Með einkabíl",5,"Ketti","Rétt",8,500,1745,"Í fjallgöngu",158,"Rangt"
"165","Súkkulaði",20,"iOS","Með einkabíl",3,"Hunda","Rétt",7,650,1750,"Á ísrúnt",160,"Rétt"
"166","Súkkulaði",50,"iOS","Með einkabíl",4,"Hunda","Rétt",7,685,1600,"Á ísrúnt",170,"Rétt"
"167","Súkkulaði",5,"iOS","Með einkabíl",3,"Hunda","Rangt",5,764,46,"Á ísrúnt",167,"Rangt"
"168","Jarðaberja",7,"iOS","Gangandi / skokkandi",4,"Ketti","Rétt",8,144,1793,"Á ísrúnt",190,"Rétt"
"169","Vanilla",5,"iOS","Gangandi / skokkandi",1,"Ketti","Rétt",4,299,1790,"Á kaffihús",170,"Rétt"
"170","Súkkulaði",10,"iOS","Með strætó",2,"Ketti","Rétt",7,890,1460,"Á kaffihús",168,"Rétt"
"171","Súkkulaði",10,"Android","Á annan hátt",2,"Ketti","Rétt",8,500,1701,"Á kaffihús",172,"Rétt"
